Neighborhood,Num,Street Address,activity_notes,type,size,other,other2,address,name,lat,lng
בוכרים,609,ישא ברכה 23,,מקלט,250,,,ירושלים ישא ברכה 23 בוכרים,Jerusalem609,31.7922354,35.2176755
בוכרים,612,יואל 16,,מחסה,50,,,ירושלים יואל 16 בוכרים,Jerusalem612,31.768319,35.21371
בוכרים,837,שמואל הנביא 79,,מקלט,115,,,ירושלים שמואל הנביא 79 בוכרים,Jerusalem837,31.794069,35.2208356
בוכרים,910,עובדיה 22,,מקלט,100,,,ירושלים עובדיה 22 בוכרים,Jerusalem910,31.7903489,35.2156977
בית הכרם,744,הבנאי 4,,מקלט,170,,,ירושלים הבנאי 4 בית הכרם,Jerusalem744,31.7750135,35.1904157
בית הכרם,745,הבנאי 30,,מקלט,170​,,,ירושלים הבנאי 30 בית הכרם,Jerusalem745,31.7774805,35.1922193
בית וגן,742,שערי תורה 7,,מקלט,270,,,ירושלים שערי תורה 7 בית וגן,Jerusalem742,31.7658063,35.18298
בית וגן,743,בית וגן 39,,מקלט,115​,,,ירושלים בית וגן 39 בית וגן,Jerusalem743,31.7691802,35.1845249
בית ישראל,​908,שמשון פולנסקי 22,,מקלט,100,,,ירושלים שמשון פולנסקי 22 בית ישראל,Jerusalem​908,31.79186859999999,35.2232357
בית ישראל,841,יואל 25,,מקלט,100​,,,ירושלים יואל 25 בית ישראל,Jerusalem841,31.7905408,35.2212159
בקעה,​984,​יעל 11,,מקלט,160,,,ירושלים ​יעל 11 בקעה,Jerusalem​984,31.759335,35.22078700000001
בקעה,​980,​רבקה 24,,מקלט,100,,,ירושלים ​רבקה 24 בקעה,Jerusalem​980,31.759335,35.22078700000001
בקעה,​995,​לוי 3,,מקלט,100,,,ירושלים ​לוי 3 בקעה,Jerusalem​995,31.7564632,35.2213625
בקעה,683,דרך חברון 54,,מקלט,170,,,ירושלים דרך חברון 54 בקעה,Jerusalem683,31.7598214,35.22352619999999
בקעה,684,אסתר המלכה 6,,מקלט,​295,,,ירושלים אסתר המלכה 6 בקעה,Jerusalem684,31.7591133,35.2229651
בקעה,685,מרדכי היהודי 6,,מקלט,200,,,ירושלים מרדכי היהודי 6 בקעה,Jerusalem685,31.7577513,35.2220419
בקעה,823​,​שמשון 13,,מקלט,130,,,ירושלים ​שמשון 13 בקעה,Jerusalem823​,31.760602,35.220794
גאולה,​621,הושע 8,,מקלט,100,,,ירושלים הושע 8 גאולה,Jerusalem​621,31.789155,35.219499
גאולה,637,נחמן מברלסב 18,,מקלט,100,,,ירושלים נחמן מברלסב 18 גאולה,Jerusalem637,31.768319,35.21371
גאולה,830,צפניה 25,,מקלט,100,,,ירושלים צפניה 25 גאולה,Jerusalem830,31.791313,35.2172062
גאולה,904,הזית 7,,מקלט,125,,,ירושלים הזית 7 גאולה,Jerusalem904,31.789155,35.219499
גבעת הורדים (רסקו),715,דוד שמעוני 52,,מקלט,180,,,ירושלים דוד שמעוני 52 גבעת הורדים (רסקו),Jerusalem715,31.7613455,35.2011204
גבעת הורדים (רסקו),949,הטייסים 33,,מקלט,100,,,ירושלים הטייסים 33 גבעת הורדים (רסקו),Jerusalem949,31.762544,35.20305
גבעת שאול,808,נג'ארה ישראל 27,,מקלט,100,,,ירושלים נג'ארה ישראל 27 גבעת שאול,Jerusalem808,31.7907081,35.1917129
הגבעה הצרפתית,998,אבא ברדיצב 6,,מקלט,100,,,ירושלים אבא ברדיצב 6 הגבעה הצרפתית,Jerusalem998,31.805501,35.2416426
המושבה הגרמנית,695,אמציה 2,,מקלט,250,,,ירושלים אמציה 2 המושבה הגרמנית,Jerusalem695,31.7621138,35.2155554
זכרון משה,928,פרי חדש 8,,מקלט,130,,,ירושלים פרי חדש 8 זכרון משה,Jerusalem928,31.7872212,35.2175901
טלביה,807,דישראלי בנימין 7,,מקלט,115,,,ירושלים דישראלי בנימין 7 טלביה,Jerusalem807,31.768003,35.221197
מאה שערים,632,מאה שערים 87,,מקלט,80,,,ירושלים מאה שערים 87 מאה שערים,Jerusalem632,31.7856464,35.2246079
מאה שערים,826,אוצר הספרים 6,,מקלט,150,,,ירושלים אוצר הספרים 6 מאה שערים,Jerusalem826,31.786634,35.225261
מורשה,751,"הע""ח 1",,מקלט,100,,,"ירושלים הע""ח 1 מורשה",Jerusalem751,31.7835368,35.2266767
מורשה,752,"הע""ח 21",,מקלט,100,,,"ירושלים הע""ח 21 מורשה",Jerusalem752,31.7813353,35.2267942
מורשה,753,חיל הנדסה 16,,מקלט,100,,,ירושלים חיל הנדסה 16 מורשה,Jerusalem753,31.7823329,35.2243942
מחנה יהודה,648,נהר פרת 11,,מקלט,236,,,ירושלים נהר פרת 11 מחנה יהודה,Jerusalem648,31.7834105,35.2096217
מחנה יהודה,821,עיניים למשפט 24,,מקלט,120,,,ירושלים עיניים למשפט 24 מחנה יהודה,Jerusalem821,31.782797,35.2136024
